name,name,info,img,douban,imdb,rt_tm,rt_ad,related_fb_post
怪奇物語,怪奇物語,"
                                　　《怪奇物語》：向征服了一代人的 80 年代經典作品致敬。《怪奇物語》以 1983 年的印第安納州為背景，一個小男孩莫名其妙地消失了。當朋友、家人和當地警察尋找答案時，他們都被捲入一個非同尋常的謎團，其中涉及絕密的政府實驗、恐怖的超自然力量，還有一個非常奇怪的小女孩。
                        ",https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Stranger_Things_logo.png/250px-Stranger_Things_logo.png,8.9,8.7,Nothing,Nothing,[]
王冠,王冠,"
                                　　馬特·史密斯和約翰·利斯高加盟Netflix劇集《王冠》(The Crown，暫譯)，二人分別飾演菲利普親王和丘吉爾。劇集劇本由《女王》編劇彼得·摩根創作，首播集由《時時刻刻》導演史蒂芬·戴德利執導，講述伊麗莎白二世與丘吉爾在二戰後，重塑英倫的故事。之前確定由克萊爾·福伊出演伊麗莎白二世。
                        ",None,9.3,8.6,90%,90%,"[687894342225135, 687897108891525, 687902615557641, 687906075557295, 687910578890178, 687917145556188, 687922278889008, 687930612221508, 687938472220722, 687941972220372, 687942062220363, 687961968885039, 687969188884317, 687989998882236, 687996492214920, 688003118880924, 688039888877247, 688068432207726, 688073912207178, 688074532207116, 688100898871146, 688110378870198, 688112655536637, 688150062199563, 688196378861598, 688441232170446, 688455788835657, 688498475498055, 688515182163051, 688531828828053, 687744305573472, 687754682239101, 687758978905338, 687775328903703, 687781535569749, 687784515569451, 687786002235969, 687786795569223, 687791352235434, 687795115568391, 687800908901145, 687801245567778, 687807932233776, 687813825566520, 687814235566479, 687825335565369, 687834825564420, 687836568897579, 687840735563829, 687843482230221, 687843615563541, 687845128896723, 687847112229858, 687848575563045, 687851785562724, 687861612228408, 687863822228187, 687870175560885, 687885702225999, 687891568892079, 687542582260311, 687548588926377, 687548815593021, 687548842259685, 687549128926323, 687553458925890, 687553718925864, 687553845592518, 687561325591770, 687562792258290, 687563348924901, 687567322257837, 687568095591093, 687572212257348, 687572295590673, 687574025590500, 687575442257025, 687575785590324, 687581768923059, 687589762255593, 687609968920239, 687622178919018, 687629845584918, 687659942248575, 687671868914049, 687695328911703, 687699415577961]"
漢娜的遺言,漢娜的遺言,"
                                    　　該劇根據2007年獲得紐約時報最佳銷售獎﹑Jay Asher所著的同名小說改篇，故事講述一個少年Clay（Dylan Minnette 飾）在某夜收到一個鞋盒，內裡裝著自殺﹑已故的女同學Hannah（Katherine Langford 飾）的錄音帶。錄音帶中有指令，要把錄音帶從一個學生交到另一位手上，以向12位同學，用13個原因解釋他們在她的死亡中，有著甚麼身 份，以及她為什麼要自殺。
                                        
                                    　　Brandon Flynn飾演Justin，飾演一個籃球員，有著星級的實力，但亦有星級的自大﹑Christian Navarro飾演Tony，一個孤獨的人，不過他會為正確的事站出來﹑Alisha Boe飾演Jessica，Hannah的朋友，直至一次惡性的吵架而分開。
                                        
                                    　　Justin Prentice飾演放縱風格的Bryce，有著好看的外貌﹑Devin Druid飾演...
                            ",None,8.4,7.5,35%,35%,[]
黑錢勝地,黑錢勝地,"
                                　　《黑錢勝地》（Ozark）是一部由比爾·迪比克創作的電視劇。傑森·貝特曼主演，並導演了半數劇集。本劇主要講述了貝特曼飾演理財師馬蒂·伯德（傑森·貝特曼 飾）與其妻子溫迪（勞拉·琳尼 飾）一家突然從芝加哥郊區搬到奧沙克湖的度假勝地，並必須還清墨西哥毒梟的債。
                        ",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ozark_TV_series_logo.svg/250px-Ozark_TV_series_logo.svg.png,8.3,8.4,81%,81%,[]
破案神探,破案神探,"
                                　　該劇根據1996年前FBI探員約翰·道格拉斯（JohnDouglas）和馬克·歐夏克（Mark Olshaker）的著作《心理神探：美國聯邦調查局系列犯罪破案揭祕》（MindHunter: Inside the FBI's Elite Serial Crime Unit）改編。退休後的道格拉斯深入研究犯罪心理學，美劇《漢尼拔》（Hannibal）和《犯罪心理》（CriminalMinds）中的角色刻畫也參考了書中的很多案例。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/e/ef/Mindhunter_tv_logo.png/250px-Mindhunter_tv_logo.png,9.0,8.6,Nothing,Nothing,"[685030482511521, 685032659177970, 685052955842607, 685053552509214, 685063155841587, 685097995838103, 685125702501999, 685128505835052, 685138365834066, 685399149141321, 685399225807980, 685427542471815, 685430912471478, 685455382469031, 685483435799559, 685533425794560, 685545142460055, 687641562250413]"
碳變,碳變,"
                                　　改編自理查德·K·摩根所著的經典賽博朋克風格黑色小說，以 300 多年後的未來為背景，講述了一個集合謀殺、愛、性和背叛的精彩故事。彼時社會已被一種新技術改變：意識可被數字化、人的身體可以互換、死亡不再是永恆的。武科瓦奇所在的精英星際戰士隊伍在反對世界新秩序的起義中敗北，他成為了其中唯一倖存的士兵。武科瓦奇的大腦在寒冰中封存了數個世紀，直到後來超長壽富豪勞倫斯·班克羅夫特為他提供了一次重生的機會。作為交換，武科瓦奇必須調查一樁謀殺案，解開班克羅夫特本人被殺的謎團。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/6/6d/Altered_Carbon_tv.jpg/250px-Altered_Carbon_tv.jpg,7.7,8.0,70%,70%,[]
太空迷航,太空迷航,"
                                　　隨飛船迫降在外星球上後，羅賓遜一家被隱藏的危險所包圍，為了求生和脫險而竭盡全力。
                        ",None,6.9,7.3,100%,100%,[]
鬼入侵,鬼入侵,"
                                　　《鬼入侵》是雪莉·傑克遜同名經典小說的現代改編版，講述了在美國最有名的鬼屋中長大的五個兄弟姐妹的故事。成年後，他們因為最小的妹妹的自殺而重新聚到一起，迫使他們最終面對與自身過往有關的鬼魂，一些潛伏在他們的心中，還有一些潛伏在這幢著名的山之屋（Hill House）的陰暗處。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/a/a1/%E9%9B%BB%E8%A6%96%E5%8A%87%E9%AC%BC%E5%85%A5%E4%BE%B5%E5%AE%A3%E5%82%B3%E5%9C%96.jpg/250px-%E9%9B%BB%E8%A6%96%E5%8A%87%E9%AC%BC%E5%85%A5%E4%BE%B5%E5%AE%A3%E5%82%B3%E5%9C%96.jpg,8.7,8.6,93%,93%,[]
莎賓娜的顫慄冒險,莎賓娜的顫慄冒險,"
                                    　　根據漫畫《薩布麗娜的驚心冒險》(The Chilling Adventures of Sabrina)改編的未定名新劇由Netflix接手開發，直接預定兩季，共20集。將與CW大熱新劇《河谷鎮》共處一個宇宙，兩劇都是根據阿奇漫畫改編。薩布麗娜是阿奇漫畫中最受歡迎的角色之一，但沒有出現在《河谷鎮》裡，九月時CW宣佈將開發她的單人劇集，也有了說法。
                                        
                                    　　故事聚焦年輕女巫Sabrina Spellman，她半人半巫，致力於與威脅到她自己、家庭以及人類性命的邪惡勢力作鬥爭。充滿超自然、恐怖、魔法、巫術等元素，風格類似《羅斯瑪麗的嬰兒》和《驅魔人》。
                                        
                                    　　製作班底和《河谷鎮》一樣，Roberto Aguirre-Sacasa任編劇，Lee Toland Krieger執導，華納電視部門和Berlanti Productions製片。THR消息源透露將會背靠背拍攝，明年...
                            ",None,7.0,7.4,81%,81%,[]
雨傘學院,雨傘學院,"
                                　　在 1989 年的同一天，四十三個嬰兒莫名降生，而這些隨機成為母親的女性之前未有任何懷孕跡象，亦無任何關聯。其中七個孩子由億萬富翁實業家雷金納德·哈格里夫斯爵士收養，他創建了傘學院，並培養自己的“孩子”來拯救世界。但事情並未按計劃進行。在他們的少年時代，這個家庭分裂了，團隊也解散了。時至今日，六位倖存的成員已經三十幾歲，他們因為哈格里夫斯去世的消息而重聚。盧瑟、迭戈、艾莉森、克勞斯、萬尼亞和五號共同破解父親神祕死亡的謎團。但由於個性和能力各異，這個關係疏遠的家庭再一次瀕臨破裂，更不要說末日將至的威脅了。
                                    
                                　　《傘學院》改編自榮獲艾斯納獎的熱門漫畫和圖畫小說，該書由傑拉德·威（《My Chemical Romance》）創作編寫、加布裡埃爾·巴繪製，由 Dark Horse Comics 出版。
                        ",None,6.9,8.0,76%,76%,[]
